Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Vein TOTINO Cherry 14.5%, 1L;1000.0;14.5;145.0;16.31;Maxima;8.89;2025-11-12 06:13:00;https://ostukorvid.ee/tooted/4eaf84c0-d904-4fa3-99f6-698f948b693b/vein-totino-cherry-145percent-1l
Vein TOTINO Bianco 14.5%, 1L;1000.0;14.5;145.0;16.31;Maxima;8.89;2025-11-12 05:25:00;https://ostukorvid.ee/tooted/aafbb35e-d643-4580-851d-fbd3fdd8c55c/vein-totino-bianco-145percent-1l
Vahuvein Bellissimo ekstra kuiv 11,5%vol 750ml;750.0;11.5;86.25;16.304;Rimi;5.29;2025-11-12 08:08:00;https://ostukorvid.ee/tooted/207e0c03-6829-458b-a7f2-4ea5d86c8e96/vahuvein-bellissimo-ekstra-kuiv-115percentvol-750ml
Vein Vidbertus 14 hores Trepat 13% 0,75 L;750.0;13.0;97.5;16.277;Sumena;5.99;2025-11-12 07:16:00;https://ostukorvid.ee/tooted/43029c29-56c8-414b-bf0d-c03e4a052abd/vein-vidbertus-14-hores-trepat-13percent-075-l
Kaitstud päritolunimetusega vein Ramblas Reales Reserva 13%vol 0,75l;1000.0;13.0;130.0;16.27;Rimi;7.99;2025-11-12 08:17:00;https://ostukorvid.ee/tooted/a8f79a3d-3254-414f-8eab-ec67e191ac9c/kaitstud-paritolunimetusega-vein-ramblas-reales-reserva-13percentvol-075l
Chill Out Smooth & Soft Cabernet Sauvignon GT vein 13,5% 3L;3000.0;13.5;405.0;16.265;Selver;24.9;2025-11-12 03:20:00;https://ostukorvid.ee/tooted/405f2375-5376-4fc8-a20f-5a84c3f37cd1/chill-out-smooth-and-soft-cabernet-sauvignon-gt-vein-135percent-3l
Chill Out Chenin Blanc BIB GT vein 12,5%vol 3l;3000.0;12.5;375.0;16.178;Kaupmees;23.18;2025-11-12 06:08:00;https://ostukorvid.ee/tooted/c3ab0e50-ff69-459d-ba92-9bb60ec8e33d/chill-out-chenin-blanc-bib-gt-vein-125percentvol-3l
Dreamer Late Harvest Chardonnay vein 12%vol 750ml;750.0;12.0;90.0;15.986;Hinnapomm;5.63;2025-11-12 08:16:00;https://ostukorvid.ee/tooted/94b8b154-eba1-4ecd-92bc-493a7d587730/dreamer-late-harvest-chardonnay-vein-12percentvol-750ml
KGT vein LUCIENTE Semi Sw. 12.5% 750ml;750.0;12.5;93.75;15.917;Maxima;5.89;2025-11-12 06:22:00;https://ostukorvid.ee/tooted/7a880cc2-cf95-4418-a055-17b48e41eacf/kgt-vein-luciente-semi-sw-125percent-750ml
TULIPUNANE Talleke hõõgvein 11% 75cl;750.0;11.0;82.5;15.865;Kaupmees;5.2;2025-11-12 06:16:00;https://ostukorvid.ee/tooted/ea299e03-defb-4d3c-aadf-49b6f12c11f1/tulipunane-talleke-hoogvein-11percent-75cl
Aromatiseeritud veinijook Rotwild Hõõgvein punane 10,5%vol 0,75l;750.0;10.5;78.75;15.782;Rimi;4.99;2025-11-12 09:19:00;https://ostukorvid.ee/tooted/41ffa0c5-c4ad-4747-abf7-c2fa7d078a1f/aromatiseeritud-veinijook-rotwild-hoogvein-punane-105percentvol-075l
