Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Siider Fizz Apple Dry 4,7% 0,33L PRK;330.0;4.7;15.51;11.489;Rimi;1.35;2025-11-12 08:45:00;https://ostukorvid.ee/tooted/2bbc6821-db96-441e-bf32-5232eef0e790/siider-fizz-apple-dry-47percent-033l-prk
Siider Somersby Blackberry 4,5%vol 0,5l purk;500.0;4.5;22.5;11.307;Rimi;1.99;2025-11-12 08:45:00;https://ostukorvid.ee/tooted/1c521ffb-59b6-415d-85e0-ce6d1ea4b02f/siider-somersby-blackberry-45percentvol-05l-purk
Siider Somersby Pineapple Lime 4,5%vol 0,5l prk;500.0;4.5;22.5;11.307;Rimi;1.99;2025-11-12 07:48:00;https://ostukorvid.ee/tooted/69e83a9c-a9af-46cf-b4e3-f71e4246478d/siider-somersby-pineapple-lime-45percentvol-05l-prk
Siider Somersby Watermelon 4,5%vol 0,5l purk;500.0;4.5;22.5;11.307;Rimi;1.99;2025-11-12 08:48:00;https://ostukorvid.ee/tooted/02be49da-cc8e-4f9b-b818-a0433e01bab0/siider-somersby-watermelon-45percentvol-05l-purk
Siider SOMERSBY Blackberry 4.5% 0,5L prk;500.0;4.5;22.5;11.307;Maxima;1.99;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/e6acf4ff-b4c1-4bca-b495-ded7e3c37026/siider-somersby-blackberry-45percent-05l-prk
Siider Somersby Apple 4,5%vol 0,5l purk;500.0;4.5;22.5;11.307;Rimi;1.99;2025-11-12 08:50:00;https://ostukorvid.ee/tooted/bc3ad5e6-e6f3-47f1-820b-eb4cabd9a574/siider-somersby-apple-45percentvol-05l-purk
Siider SOMERSBY ananass&laim 4.5% 500ml;500.0;4.5;22.5;11.307;Maxima;1.99;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/8b7e894a-f8cb-4a83-bb49-8a508ecb2cb9/siider-somersby-ananassandlaim-45percent-500ml
Somersby Watermelon siider 4.5% 0.5L;500.0;4.5;22.5;10.976;Coop;2.05;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/0675fe8b-3879-414c-87b6-ce24cd264da2/somersby-watermelon-siider-45percent-05l
Karksi Õunasiider 5% 0.5L;500.0;5.0;25.0;10.917;Selver;2.29;2025-11-12 03:48:00;https://ostukorvid.ee/tooted/8f52a603-55bf-4af7-a62c-d7d93ca4b97a/karksi-ounasiider-5percent-05l
Karksi Õunasiider 5% 0.5L;500.0;5.0;25.0;10.917;Prisma;2.29;2025-04-16 14:48:00;https://ostukorvid.ee/tooted/8f52a603-55bf-4af7-a62c-d7d93ca4b97a/karksi-ounasiider-5percent-05l
Siider KARKSI õun. poolkuiv 5% 500ml pdl;500.0;5.0;25.0;10.917;Maxima;2.29;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/6f69f51f-6ce6-4462-afcc-3a5d13ff117e/siider-karksi-oun-poolkuiv-5percent-500ml-pdl
Siider Hoggy´s Rhubarb Bliss 4,5%vol 0,355l purk;355.0;4.5;15.975;10.721;Rimi;1.49;2025-11-12 07:46:00;https://ostukorvid.ee/tooted/898269dd-053f-4326-ab20-f9fef0883693/siider-hoggys-rhubarb-bliss-45percentvol-0355l-purk
Siider Hoggy´s Dry Apple 4,5%vol 0,355l purk;355.0;4.5;15.975;10.721;Rimi;1.49;2025-11-12 08:47:00;https://ostukorvid.ee/tooted/d24d9e3d-a610-4fb8-b673-24cde583ea7a/siider-hoggys-dry-apple-45percentvol-0355l-purk
Siider Hoggy´s Raspberry Dream 4,5%vol 0,355l purk;355.0;4.5;15.975;10.721;Rimi;1.49;2025-11-12 07:49:00;https://ostukorvid.ee/tooted/602303fe-470c-4fd9-9513-1ddbb0f27db6/siider-hoggys-raspberry-dream-45percentvol-0355l-purk
ABAVAS Siider Nordic Apple Medium Dry 6% 33cl (purk);330.0;6.0;19.8;10.703;Kaupmees;1.85;2025-11-12 06:47:00;https://ostukorvid.ee/tooted/ccaafb1e-6e07-4e61-a3f4-e26fb4ab9d02/abavas-siider-nordic-apple-medium-dry-6percent-33cl-purk
Rekorderlig siider mango-vaarika 4,5% 500 ml;500.0;4.5;22.5;10.664;Kaupmees;2.11;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/86dabc6d-6413-4130-a8ad-0baf2a7782df/rekorderlig-siider-mango-vaarika-45percent-500-ml
REKORDERLIG Siider pineapple-kiwi-yuzu 4,5% 50cl (purk);500.0;4.5;22.5;10.664;Kaupmees;2.11;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/165b3a25-278a-4eb4-b113-815dcdb8c4aa/rekorderlig-siider-pineapple-kiwi-yuzu-45percent-50cl-purk
REKORDERLIG Siider passionfruit 4,5% 50cl (purk);500.0;4.5;22.5;10.664;Kaupmees;2.11;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/dc8858df-343f-4443-a849-6f06bb77af6d/rekorderlig-siider-passionfruit-45percent-50cl-purk
Karksi Õunasiider 5% 0.5L;500.0;5.0;25.0;10.638;Coop;2.35;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/8f52a603-55bf-4af7-a62c-d7d93ca4b97a/karksi-ounasiider-5percent-05l
Õunasiider Bellissimo poolkuiv 5,5%vol 0,75l;750.0;5.5;41.25;10.604;Rimi;3.89;2025-11-12 08:45:00;https://ostukorvid.ee/tooted/9db7cbe4-2f0f-45f9-af96-6c072d3d66b7/ounasiider-bellissimo-poolkuiv-55percentvol-075l
SOMERSBY Siider Apple Sparkling 4,5% 50cl (purk);500.0;4.5;22.5;10.465;Kaupmees;2.15;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/e48a0858-d9d6-4ac2-a42b-9aac99955c1d/somersby-siider-apple-sparkling-45percent-50cl-purk
CROWMOOR DRY APPLE 4,7% 330 ML SIIDER;330.0;4.7;15.51;10.409;Prisma;1.49;2025-04-16 14:45:00;https://ostukorvid.ee/tooted/f00903cc-f332-4ee6-be05-660ae28d3e23/crowmoor-dry-apple-47percent-330-ml-siider
Rekorderlig siider mango-vaarika 4,5% 500 ml;500.0;4.5;22.5;10.274;Prisma;2.19;2025-04-16 14:47:00;https://ostukorvid.ee/tooted/86dabc6d-6413-4130-a8ad-0baf2a7782df/rekorderlig-siider-mango-vaarika-45percent-500-ml
SOMERSBY APPLE 4,5%VOL 0,33L;330.0;4.5;14.85;10.241;Prisma;1.45;2025-04-16 14:49:00;https://ostukorvid.ee/tooted/a9c411b3-49bf-4410-9045-af9c5e883d3e/somersby-apple-45percentvol-033l
REKORDERLIG Siider mango-raspberry 4,5% 33cl (purk);330.0;4.5;14.85;10.171;Kaupmees;1.46;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/8a2b23b1-4aca-449e-a54f-9b621a192c3f/rekorderlig-siider-mango-raspberry-45percent-33cl-purk
REKORDERLIG Siider strawberry-lime 4,5% 33cl (purk);330.0;4.5;14.85;10.171;Kaupmees;1.46;2025-11-12 06:48:00;https://ostukorvid.ee/tooted/174a52c7-9974-4780-86d6-36844ea2bee6/rekorderlig-siider-strawberry-lime-45percent-33cl-purk
Siider SOMERSBY Pear 4.5% 4х500ml purk;2000.0;4.5;90.0;10.169;Maxima;8.85;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/fc7edc14-a8bd-4758-8fa6-3b54bbd60d20/siider-somersby-pear-45percent-4h500ml-purk
BLACKTHORN Siider Dry 5% 50cl (purk);500.0;5.0;25.0;10.081;Kaupmees;2.48;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/dfd3b160-9177-4d62-809b-da322ebe6195/blackthorn-siider-dry-5percent-50cl-purk
Siider HOGGYS Dry Apple 4.5% 330ml,pdl;330.0;4.5;14.85;9.966;Maxima;1.49;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/b4213a68-282b-4491-8e53-cce4c4eda18f/siider-hoggys-dry-apple-45percent-330mlpdl
HOGGY'S Siider Pear Heaven 4,5% 30l (vaat);30000.0;4.5;1350.0;9.555;Kaupmees;141.29;2025-11-12 06:46:00;https://ostukorvid.ee/tooted/928bbfe8-0908-4479-be9e-12d0a5f85edc/hoggys-siider-pear-heaven-45percent-30l-vaat
MAGNERS Siider Light 4,5% 44cl (purk);440.0;4.5;19.8;9.384;Kaupmees;2.11;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/b198a177-fd06-4e6c-8fda-9faaf56b961a/magners-siider-light-45percent-44cl-purk
SOMERSBY Siider Pear 4,5% 30l (vaat);30000.0;4.5;1350.0;9.353;Kaupmees;144.34;2025-11-12 06:47:00;https://ostukorvid.ee/tooted/f6c51c30-185c-4e6a-ac3a-be51d66c074e/somersby-siider-pear-45percent-30l-vaat
Somersby Apple siider 4.5% 0.33L;330.0;4.5;14.85;9.34;Coop;1.59;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/7f1686d6-0e08-403e-b0fb-dc6d85d84084/somersby-apple-siider-45percent-033l
Siider SOMERSBY Õun 4.5% 330ml;330.0;4.5;14.85;9.34;Maxima;1.59;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/a58a5ffd-f63f-40a5-a036-f848d61dba04/siider-somersby-oun-45percent-330ml
Siider Somersby Apple 4,5%vol 0,33l pudel;330.0;4.5;14.85;9.34;Rimi;1.59;2025-11-12 07:47:00;https://ostukorvid.ee/tooted/7d5bbbca-64ba-4c9e-a963-7c1989f6ae90/siider-somersby-apple-45percentvol-033l-pudel
